Comment,Designator,Footprint,LCSC
820k,"R10,R19",R_0402_1005Metric,C100692
AO3401A,"Q1,Q2",SOT-23,C15127
100nF,"C1,C7",C_0402_1005Metric,C1525
1uF,"C10,C3,C4,C9",C_0603_1608Metric,C15849
4.7uF,"C12,C6",C_0603_1608Metric,C19666
10uF,"C2,C8",C_0603_1608Metric,C19702
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D5,D6,D7,D8,D9",D_SOD-323,C2128
2k,"R18,R8",R_0603_1608Metric,C22975
22,"R14,R15,R4,R5",R_0402_1005Metric,C25092
330,"R1,R11",R_0402_1005Metric,C25104
100k,"R16,R6",R_0603_1608Metric,C25803
10k,"R17,R7",R_0603_1608Metric,C25804
5.1k,"R12,R13,R2,R3",R_0402_1005Metric,C25905
2m,"R20,R9",R_0402_1005Metric,C269401
TPS7A0333PDBV,"U3,U5",SOT-23-5,C3749797
MCP73831-2-OT,"U2,U6",SOT-23-5,C424093
22uF,"C11,C5",C_0603_1608Metric,C59461
USB_C_Receptacle_USB2.0_14P,J1,USB-C-C168688,
Breakoff,P2,Panel_2x5,
SKTAACE010,SW20,SKTAACE010,
USB_C_Receptacle_USB2.0_14P,J3,USB-C-C168688,
SKTAACE010,SW40,SKTAACE010,
LED,D20,LED_SMD_315,
LED,D40,LED_SMD_315,
MINI MSK12CO2,SW19,SW_SPDT_MSKT_12C0,
MINI MSK12CO2,SW39,SW_SPDT_MSKT_12C0,
